,,,,"lmcut",,,,,,"lsudA",,,,,,"HHH 10K",,,,,,,"HHH 100K",,,,,,,"blind",,,,,,,"h_max",,,,,,,"hsp_f",,,,,"Gamer",
"satellite-ipc4","p16_pfile16.pddl",," "," "," "," "," "," ",,,23,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p17_pfile17.pddl",," "," "," "," "," "," ",,,20,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p18_pfile18.pddl",," "," "," "," "," "," ",,,29,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p19_pfile19.pddl",," "," "," "," "," "," ",,,43,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p20_pfile20.pddl",," "," "," "," "," "," ",,,62,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p21_hc_pfile1.pddl",," "," "," "," "," "," ",,,37,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p22_hc_pfile2.pddl",," "," "," "," "," "," ",,,71,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p23_hc_pfile3.pddl",," "," "," "," "," "," ",,,51,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p24_hc_pfile4.pddl",," "," "," "," "," "," ",,,70,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p25_hc_pfile5.pddl",," "," "," "," "," "," ",,,64,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p26_hc_pfile6.pddl",," "," "," "," "," "," ",,,68,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p27_hc_pfile7.pddl",," "," "," "," "," "," ",,,79,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p28_hc_pfile8.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p29_hc_pfile9.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p30_hc_pfile10.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p31_hc_pfile11.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p32_hc_pfile12.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p33_hc_pfile13.pddl",,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p34_hc_pfile14.pddl",,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p35_hc_pfile15.pddl",,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
"satellite-ipc4","p36_hc_pfile16.pddl",,,,,,,," ",,,,,,," "," "," "," "," "," ",,,,,,,,,,,,,,,,,3,,,,,," ",,,,," ",
,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"schedule-aips2000","probschedule-02-0.pddl",3,3,2,4,93,92," 0.08s"," 0.17s",3,,"0.14s","0.01s",5,112,3,3,4,93,92," 0.02s"," 251.86s"," "," "," "," "," "," ",,3,1,41,442,768," 0s"," 0.01s",3,1,5,138,138," 0.01s"," 0.04s",3,2,5,577.39,577.39," ",
"schedule-aips2000","probschedule-02-1.pddl",2,2,2,3,57,56," 0.05s"," 0.14s",2,,"0.14s","0s",3,56," "," "," "," "," "," ",," "," "," "," "," "," ",,2,1,4,77,76," 0s"," 0.01s",2,1,3,57,56," 0s"," 0.03s",2,2,3,754.26,754.26,2,1.95
"schedule-aips2000","probschedule-02-2.pddl",2,2,2,3,57,56," 0.04s"," 0.13s",2,,"0.14s","0s",3,56," "," "," "," "," "," ",," "," "," "," "," "," ",,2,1,4,77,76," 0s"," 0.01s",2,1,3,57,56," 0s"," 0.03s",2,2,3,495.56,495.56," ",
"schedule-aips2000","probschedule-02-3.pddl",3,3,2,16,273,286," 0.23s"," 0.32s",3,,"0.14s","0.01s",16,286," "," "," "," "," "," ",,,,,,,,,3,1,261,1307,2221," 0s"," 0.01s",3,1,58,1169,1304," 0.1s"," 0.13s",3,3,4,658.89,658.9," ",
"schedule-aips2000","probschedule-02-4.pddl",3,3,2,21,354,377," 0.26s"," 0.33s",3,,"0.16s","0.05s",21,377," "," "," "," "," "," ",,,,,,,,,3,1,326,1649,2884," 0s"," 0.01s",3,1,81,1588,1828," 0.12s"," 0.14s",3,3,4,484.61,484.62," ",
"schedule-aips2000","probschedule-02-5.pddl",2,2,2,3,44,43," 0.04s"," 0.13s",2,,"0.13s","0s",3,43,2,2,3,44,43," 0.07s"," 1070.23s",,,,,,,,2,1,3,44,43," 0s"," 0.01s",2,1,3,44,43," 0s"," 0.03s",2,2,3,667.32,667.32," ",
"schedule-aips2000","probschedule-02-6.pddl",2,2,2,3,52,51," 0.04s"," 0.11s",2,,"0.11s","0s",3,51," "," "," "," "," "," ",,,,,,,,,2,1,5,90,89," 0s"," 0.01s",2,1,3,52,51," 0.01s"," 0.03s",2,2,3,697.41,697.42,2,1.99
"schedule-aips2000","probschedule-02-7.pddl",2,2,2,3,44,43," 0.03s"," 0.1s",2,,"0.12s","0s",3,43,2,2,3,44,43," 0.05s"," 624.99s",,,,,,,,2,1,10,137,136," 0s"," 0.01s",2,1,3,44,43," 0.01s"," 0.03s",2,2,3,604.06,604.06," ",
"schedule-aips2000","probschedule-02-8.pddl",2,2,2,3,42,41," 0.04s"," 0.13s",2,,"0.12s","0s",3,41,2,2,3,42,41," 0.13s"," 1369.02s",,,,,,,,2,1,6,83,82," 0s"," 0.01s",2,1,3,42,41," 0s"," 0.03s",2,2,3,668.79,668.79," ",
"schedule-aips2000","probschedule-02-9.pddl",3,3,2,4,93,92," 0.08s"," 0.17s",3,,"0.14s","0s",5,112,3,3,4,93,92," 0.03s"," 226.57s",,,,,,,,3,1,41,442,768," 0s"," 0.01s",3,1,5,140,140," 0.01s"," 0.04s",3,2,5,577.16,577.16," ",
"schedule-aips2000","probschedule-03-0.pddl",4,4,3,18,367,395," 0.4s"," 0.51s",4,,"0.26s","0.05s",18,395,4,4,5,124,123," 0.04s"," 828.32s",,,,,,,,4,1,3824,25274,59016," 0.16s"," 0.17s",4,1,614,15515,18763," 1.64s"," 1.68s",4,3,32,1809.93,1809.93," ",
"schedule-aips2000","probschedule-03-1.pddl",2,2,2,3,87,86," 0.1s"," 0.23s",2,,"0.27s","0.01s",3,86,2,2,3,87,86," 0.01s"," 838.69s",,,,,,,,2,1,20,580,638," 0.01s"," 0.02s",2,1,16,502,518," 0.07s"," 0.11s",2,2,3,2084.74,2084.75," ",
"schedule-aips2000","probschedule-03-2.pddl",4,4,3,13,214,234," 0.24s"," 0.35s",4,,"0.23s","0.01s",16,270,4,4,5,100,102," 0s"," 221.68s",,,,,,,,4,1,1359,9531,21162," 0.06s"," 0.07s",4,1,667,13875,17528," 1.51s"," 1.54s",4,3,16,2126.85,2126.85," ",
"schedule-aips2000","probschedule-03-3.pddl",4,4,3,10,314,321," 0.41s"," 0.54s",4,,"0.26s","0.01s",15,360,4,4,5,166,166," 0.02s"," 820.93s",,,,,,,,4,1,1264,10272,24032," 0.07s"," 0.08s",4,1,136,4147,5239," 0.51s"," 0.55s",4,2,82,2384.09,2384.09,4,27.05
"schedule-aips2000","probschedule-03-4.pddl",4,4,3,5,144,143," 0.17s"," 0.28s",4,,"0.25s","0.03s",5,143," "," "," "," "," "," ",,,,,,,,,4,1,3341,24090,55845," 0.15s"," 0.16s",4,1,167,5773,7176," 0.64s"," 0.67s",3,2,4,1223.89,1223.9," ",
"schedule-aips2000","probschedule-03-5.pddl",4,4,3,7,284,292," 0.4s"," 0.53s",4,,"0.28s","0.01s",9,332," "," "," "," "," "," ",,,,,,,,,4,1,6617,46065,107786," 0.29s"," 0.3s",4,1,852,26107,30957," 3.68s"," 3.73s",4,4,5,3040.53,3040.55," ",
"schedule-aips2000","probschedule-03-6.pddl",4,4,3,21,405,441," 0.48s"," 0.59s",4,,"0.23s","0.02s",21,441,4,4,5,136,135," 0.06s"," 561.57s",,,,,,,,4,1,1227,10125,23733," 0.06s"," 0.07s",4,1,1017,27141,33449," 3.24s"," 3.27s",4,3,9,2459.64,2459.64," ",
"schedule-aips2000","probschedule-03-7.pddl",4,4,3,23,411,451," 0.5s"," 0.64s",4,,"0.28s","0.02s",23,451,4,4,5,141,141," 0s"," 131.96s",,,,,,,,4,1,5865,39638,95740," 0.25s"," 0.26s",4,1,859,21555,26379," 3.02s"," 3.07s",4,3,11,2535.44,2535.45," ",
"schedule-aips2000","probschedule-03-8.pddl",6,6,3,2644,45087,58948," 59.41s"," 59.53s",6,,"2.85s","2.61s",2122,46156,6,6,7,242,241," 0.01s"," 552.23s",,,,,,,,6,1,201427,953250,3000998," 8.4s"," 8.41s",6,1,34287,601281,899855," 74.22s"," 74.26s",4,3,10,1947.16,1947.16," ",
"schedule-aips2000","probschedule-03-9.pddl",4,4,3,6,129,131," 0.16s"," 0.28s",4,,"0.25s","0.01s",6,131,4,4,5,159,159," 0.01s"," 208.24s",,,,,,,,4,1,1626,11833,27417," 0.07s"," 0.08s",4,1,509,12240,15208," 1.46s"," 1.5s",4,3,17,2281.6,2281.6," ",
"schedule-aips2000","probschedule-04-0.pddl",5,5,4,29,774,816," 1.41s"," 1.58s",5,,"0.49s","0.07s",32,858," "," "," "," "," "," ",,,,,,,,,5,1,115873,857741,2605496," 8.68s"," 8.7s",5,1,11339,308962,425186," 53.73s"," 53.79s"," ",,,,," ",
"schedule-aips2000","probschedule-04-1.pddl",6,6,4,65,2535,3065," 5.6s"," 5.77s",6,,"0.77s","0.35s",65,3065,6,6,7,278,277," 0.01s"," 1708.86s",,,,,,,,6,1,195677,1286427,4354593," 13.78s"," 13.8s",6,1,88267,2277521,3237734," 399.22s"," 399.28s"," ",,,,," ",
"schedule-aips2000","probschedule-04-2.pddl",7,7,4,1433,34705,46147," 70.29s"," 70.45s",7,,"5.41s","5.02s",2358,66207,7,7,8,325,324," 0.02s"," 430.26s",,,,,,,,7,1,1061349,6108216,22680736," 72.1s"," 72.12s",7,2,89034,1261673,2483530," 223.09s"," 223.14s"," ",,,,," ",
"schedule-aips2000","probschedule-04-3.pddl",7,7,4,7026,141497,199353," 277.29s"," 277.44s",7,,"13.56s","13.17s",8652,220186," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-04-4.pddl",9,9,5,34540,634146,984710," 1525.57s"," 1525.74s",9,,"95.5s","95.08s",35368,1017439,9,9,10,476,477," 0.02s"," 503.11s",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-04-5.pddl",," "," "," "," "," "," ",,10,,"128.86s","128.42s",49158,1585847," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-04-6.pddl",6,6,4,329,7639,9714," 14.3s"," 14.46s",6,,"0.82s","0.44s",203,6927,6,6,7,367,366," 0.02s"," 983.82s",,,,,,,,6,1,939952,5708580,19404850," 62.43s"," 62.45s",6,1,54139,1375434,2004981," 228.83s"," 228.88s"," ",,,,," ",
"schedule-aips2000","probschedule-04-7.pddl",5,5,4,7,249,249," 0.46s"," 0.62s",5,,"0.43s","0.05s",7,249," "," "," "," "," "," ",,,,,,,,,5,1,17909,149478,448696," 1.4s"," 1.42s",5,1,4353,128372,171097," 20.73s"," 20.78s"," ",,,,," ",
"schedule-aips2000","probschedule-04-8.pddl",5,5,4,22,562,609," 0.94s"," 1.08s",5,,"0.38s","0.03s",25,663,5,5,6,206,205," 0.03s"," 944.04s",,,,,,,,5,1,109887,762959,2376850," 7.5s"," 7.51s",5,1,9284,262058,349317," 38.53s"," 38.57s"," ",,,,," ",
"schedule-aips2000","probschedule-04-9.pddl",4,4,3,34,1412,1485," 2.83s"," 3.01s",4,,"0.84s","0.39s",65,2566," "," "," "," "," "," ",,,,,,,,,4,1,18956,164802,465567," 1.49s"," 1.51s",4,1,2835,92540,119597," 17.78s"," 17.85s"," ",,,,," ",
"schedule-aips2000","probschedule-05-0.pddl",5,5,4,9,437,438," 0.98s"," 1.17s",5,,"0.64s","0.08s",9,438," "," "," "," "," "," ",,,,,,,,,5,1,61972,618467,1967219," 7.36s"," 7.38s",5,1,22161,766019,1051554," 156.06s"," 156.12s"," ",,,,," ",
"schedule-aips2000","probschedule-05-1.pddl",7,7,5,288,12499,13967," 33.12s"," 33.31s",7,,"3.22s","2.66s",358,16097," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-05-2.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-05-3.pddl",9,9,5,17218,456298,690033," 1604.1s"," 1604.32s",9,,"69.42s","68.77s",19875,769025,9,9,501,14280,16736," 0.38s"," 850.41s",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-05-4.pddl",6,6,5,25,934,976," 2.66s"," 2.87s",6,,"0.78s","0.15s",77,2181," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,6,1,87267,2673444,3991190," 591.2s"," 591.28s"," ",,,,," ",
"schedule-aips2000","probschedule-05-5.pddl",8,8,6,918,30000,35003," 90.92s"," 91.1s",8,,"6.67s","6.15s",1497,49535," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-05-6.pddl",,9,6,2815,97407,127232," 379.42s"," 379.64s",9,,"18.88s","18.25s",3877,168478," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-05-7.pddl",6,6,5,25,1040,1075," 2.69s"," 2.88s",6,,"0.86s","0.3s",67,2099," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",,6,1,93289,2738025,4245546," 556.54s"," 556.6s"," ",,,,," ",
"schedule-aips2000","probschedule-05-8.pddl",7,7,5,108,5320,5994," 17.09s"," 17.28s",7,,"1.13s","0.58s",126,6656," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-05-9.pddl",8,8,4,16668,505885,740199," 1405.99s"," 1406.19s",8,,"167.55s","166.95s",29523,1194440,8,8,300,12989,13544," 0.37s"," 482.78s",,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-0.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-1.pddl",8,8,6,254,13085,15324," 54.91s"," 55.13s",8,,"5.96s","5.19s",980,38220," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-2.pddl",8,8,5,4380,158408,216460," 624.34s"," 624.6s",8,,"92.15s","91.25s",8255,399011," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-3.pddl",," "," "," "," "," "," ",,9,,"215.68s","214.87s",14604,774439," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-4.pddl",8,8,6,2175,65610,83897," 236.86s"," 237.12s",8,,"12.83s","11.92s",2152,85930," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-5.pddl",," "," "," "," "," "," ",,10,,"869.22s","868.45s",136795,5424358," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-6.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-7.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-8.pddl",8,8,6,1424,55945,68332," 227.22s"," 227.48s",8,,"23.89s","22.99s",4034,151082," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-06-9.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-0.pddl",7,7,6,31,2021,2074," 9.14s"," 9.43s",7,,"2.21s","1.04s",104,4658," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-1.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-2.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-3.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-4.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-5.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-6.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-7.pddl",8,8,6,309,17961,20723," 84.85s"," 85.1s",8,,"10.18s","9.18s",777,46015," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-8.pddl",," "," "," "," "," "," ",,10,,"128.77s","127.66s",16995,942791," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-07-9.pddl",8,8,6,255,16599,19308," 86.8s"," 87.08s",8,,"11.42s","10.31s",756,49060," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-0.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-1.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-2.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-3.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-4.pddl",," "," "," "," "," "," ",,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-5.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"schedule-aips2000","probschedule-08-6.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-08-7.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-08-8.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-08-9.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-0.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-1.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-2.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-3.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-4.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-5.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-6.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-7.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-8.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-09-9.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-0.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-1.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-2.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-3.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-4.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-5.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-6.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-7.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-8.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-10-9.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-0.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-1.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-2.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-3.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-4.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-5.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-6.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-7.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-8.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-11-9.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-12-0.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-12-1.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-12-2.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-12-3.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-12-4.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
"schedule-aips2000","probschedule-12-5.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,," ",
